ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_603,1,FeL13,Laibungsstein13,FeL13_Fe27_OFas_RhANT,Laibungsstein13_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,18","0,62",3,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_72,1,FS6,Fassadenstein6,FS6_OFas_RhANT,Fassadenstein6_OFas_RhANT,OFas_RhANT,"0,18","0,69",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_74,1,FS4,Fassadenstein4,FS4_OFas_RhANT,Fassadenstein4_OFas_RhANT,OFas_RhANT,"0,18","0,76",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_289,1,FeL7,Laibungsstein7,FeL7_Fe10_OFas_RhANT,Laibungsstein7_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,19","0,09",2,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_631,1,FeL2,Laibungsstein2,FeL2_Fe28_OFas_RhANT,Laibungsstein2_Fen28_OFas_RhANT,Fe28_OFas_RhANT,"0,19","0,46",3,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_259,1,FeL4,Laibungsstein4,FeL4_Fe09_OFas_RhANT,Laibungsstein4_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,20","1,11",2,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_260,1,FeL7,Laibungsstein7,FeL7_Fe09_OFas_RhANT,Laibungsstein7_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,20","0,77",2,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_261,1,FeL5,Laibungsstein5,FeL5_Fe09_OFas_RhANT,Laibungsstein5_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,20","0,33",2,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_272,1,FeL3,Laibungsstein3,FeL3_Fe10_OFas_RhANT,Laibungsstein3_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,20","0,53",2,13,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_274,1,FeL1,Laibungsstein1,FeL1_Fe10_OFas_RhANT,Laibungsstein1_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,20","0,57",2,13,0,1,0,0,0,0,0,0,0
